10000 40000
6600 7376 -5
1178 2004 5
9253 2160 16
8659 5589 -4
6962 2119 20
8346 7184 17
4627 2995 -4
8043 2955 -15
6558 152 6
1751 4919 1
2856 5439 13
2975 9009 20
8576 3375 -1
5992 6450 -2
167 9892 -13
1264 9579 8
6683 3294 7
2858 6503 2
7762 8784 -12
5437 2182 -11
8957 8931 -8
2259 5736 -6
7865 8879 -1
1100 5791 -18
7739 466 -14
5677 9742 -10
9174 6671 -4
9201 9208 17
2981 3886 -10
5796 5782 -15
8907 6987 -16
3801 3519 -8
2778 6651 0
8849 4444 -9
9778 6620 -17
2801 9705 15
8117 1734 4
2650 5915 -3
3213 2363 16
7403 7155 11
5299 7907 -11
701 8288 19
6280 3146 2
8790 9908 -1
7470 6250 -7
7167 1904 -4
7193 350 4
693 1089 1
2668 4083 -1
3241 9642 15
3582 2825 0
2209 9173 10
3485 5721 0
5110 7457 6
4141 1933 -16
3819 9507 -6
711 7093 7
9833 7222 11
9111 5460 5
203 3838 4
3483 4275 -10
1472 852 13
3341 3260 -4
367 7529 12
7636 48 -9
3581 4736 -15
2528 594 7
9960 5137 -16
9137 78 -11
2741 9605 -20
2588 2409 20
7569 5152 -8
8596 8028 -1
6472 6465 6
8031 2414 10
1830 2594 -15
5201 8201 5
4856 37 -18
9312 5730 -1
9576 7920 -17
9194 6553 -3
2977 3113 3
4393 3906 -3
5424 8262 16
8694 7441 -7
5897 7307 0
3186 8348 -6
474 8333 -14
2140 3658 -17
2827 6527 -12
3323 1366 -16
970 7410 -7
6436 2248 5
6264 4333 -13
6655 4593 4
9927 5891 -7
417 1507 20
1052 875 17
2203 1888 -18
5682 6564 -18
7563 6190 -19
9458 3087 4
3777 5511 -19
2356 7636 -3
7755 8373 18
6016 1727 16
2377 9119 7
7548 5448 -14
422 6094 10
3130 1113 17
8804 1942 -4
3943 704 -19
6286 312 17
582 9924 4
3159 2365 -11
4420 8192 5
5417 3743 4
1353 959 -7
6796 4262 6
4087 1069 5
9693 2564 -19
6004 2943 12
6988 226 -9
4203 7001 11
4070 5452 -2
1672 3938 -11
1642 9546 -13
9225 872 8
7830 4116 -4
3438 8190 -15
7948 1784 -12
3786 3828 6
3235 2452 0
6191 1683 -5
8760 3102 3
4417 81 -4
1053 425 -2
6852 4467 -5
6591 198 17
3978 7542 0
4877 1902 1
6566 6263 15
3141 4969 -4
7465 8037 2
7236 5207 -4
7179 3414 -15
2557 9037 -14
9666 18 5
696 8022 -13
6591 365 -5
2031 2107 -9
1524 9103 11
4464 9942 3
5090 3767 6
7251 1849 19
3813 8103 7
438 8800 12
7239 9129 1
8975 2854 -1
2370 3119 12
4978 6287 12
1776 180 -10
5016 3033 10
6379 6797 -17
7426 1095 16
7110 3827 18
9227 7296 -19
3062 1203 -14
4912 7557 3
6214 5248 -7
214 146 20
2466 1060 20
7196 7359 19
498 9833 -12
2097 6210 16
8774 1052 -5
9811 7760 -20
8352 593 -9
7959 2878 -12
8990 3414 -5
5648 8209 16
9963 2178 -19
5325 7173 5
3501 1093 -8
8586 6894 14
6500 8301 -16
748 2680 4
4218 8151 -15
869 3720 -4
5879 9150 17
5225 1080 7
7832 3781 -6
3928 9228 14
3484 5325 -2
8612 9056 13
3917 9339 -10
1208 4875 14
8691 9845 -3
1934 5349 10
7317 6219 -7
3724 4307 -7
9260 713 17
1719 4827 6
5213 170 -13
6432 13 1
3507 3484 18
9694 1435 20
8476 2966 4
7720 4697 -13
1506 4697 14
6687 6114 -9
1630 742 4
483 7346 -12
3118 7395 -11
3389 8908 -10
4587 4121 8
9281 6221 16
4718 8592 19
6983 977 -2
7613 1669 10
3738 7563 0
6990 7947 9
4125 3721 -7
4714 7829 -8
9029 5175 19
919 2402 -4
5166 2736 -12
4636 4076 15
574 8870 19
2964 7663 3
9915 6821 -4
7365 4066 0
9893 8735 -14
1046 5454 16
663 1113 -15
1426 2603 -2
6215 7275 -4
3427 522 6
8063 9986 -12
7849 7585 -3
283 6841 9
224 6455 19
3996 9145 13
7412 5854 0
7829 302 2
