1000 4000
0 575 -12
0 814 13
0 973 -15
1 89 -8
1 104 5
1 168 -3
1 607 -13
1 708 -15
1 791 -11
2 461 -16
2 651 -3
2 934 3
3 60 -20
3 479 12
4 254 5
4 591 14
4 938 -10
5 84 17
5 166 -9
5 537 12
5 816 11
6 181 17
6 227 -17
6 334 -16
6 630 9
7 370 19
7 388 17
7 501 -19
7 807 12
7 847 6
8 357 16
8 701 5
8 730 16
8 734 -10
8 746 7
8 750 8
8 867 -12
9 36 1
9 37 -20
9 971 -19
9 996 -10
10 11 -12
10 163 -18
10 350 2
10 472 6
10 633 10
10 638 -9
11 637 19
11 763 3
11 767 -12
12 117 -14
12 201 -6
12 550 9
12 712 -7
13 496 -19
13 848 7
14 141 -20
14 181 13
14 289 15
14 381 -2
14 461 10
14 785 15
14 985 10
15 250 -5
15 375 17
15 382 17
15 604 6
15 703 -6
15 938 8
16 200 16
16 237 -19
16 272 -13
16 341 -15
16 566 1
17 249 8
17 383 -18
17 430 -2
17 438 -1
17 666 9
17 930 16
18 505 -11
18 624 -19
19 67 8
19 97 6
19 144 -8
19 305 14
19 485 5
19 678 -3
19 886 -3
20 652 4
20 707 16
21 807 -2
21 830 -10
21 954 2
22 405 6
22 526 -16
22 670 -14
22 872 -20
22 918 -6
22 989 -1
23 363 7
23 493 -3
23 710 -17
23 939 5
24 124 -12
24 166 15
24 228 15
24 400 -8
24 628 4
25 63 -7
25 160 -18
25 584 -17
25 663 -12
26 55 -10
26 180 -3
26 184 16
26 370 15
26 419 2
26 525 -17
26 598 10
26 695 2
26 705 18
27 53 4
27 493 -8
27 684 -15
28 56 9
28 428 8
28 545 16
28 620 5
28 795 -19
28 890 -19
29 51 -9
29 80 20
29 98 -8
29 195 -2
29 255 10
29 494 -7
29 685 12
29 978 -14
30 259 -3
30 697 -18
31 114 19
31 170 16
31 273 -14
31 426 6
32 136 -9
32 325 -10
32 489 5
32 543 -13
33 305 6
33 398 8
33 906 -19
33 959 10
34 174 8
34 357 19
34 423 20
34 827 12
34 889 -5
35 428 -8
35 675 -9
35 751 -4
36 735 -3
36 778 -7
36 819 8
36 876 1
36 934 -5
36 981 -6
37 61 17
37 137 7
37 249 -12
37 682 -13
37 697 -12
38 86 -9
38 350 -16
38 981 -2
39 671 6
40 343 -14
40 855 -9
41 21 14
41 306 11
41 861 -1
42 153 11
42 175 18
42 239 -11
43 570 3
43 972 0
44 27 -17
44 400 -17
44 721 -7
45 592 -14
45 700 12
46 21 -18
46 38 -16
46 67 15
46 291 -19
46 450 -2
47 94 13
47 466 15
47 714 -8
47 910 -10
48 74 -18
48 82 -14
48 308 11
48 316 -11
48 528 3
48 949 4
49 111 -18
49 283 17
49 486 -14
49 580 -10
49 639 3
49 656 20
49 697 -6
49 787 -9
49 906 -17
50 265 -12
50 455 -8
51 364 14
51 413 5
51 829 17
52 51 10
52 199 -2
52 264 16
52 432 1
52 515 14
52 539 4
52 617 -15
52 644 15
52 715 -4
52 752 7
53 379 12
53 698 -4
53 903 -17
54 125 -17
54 265 -10
54 479 16
54 685 -2
54 770 -4
55 99 20
55 124 14
55 321 -13
55 564 -10
55 672 15
55 685 -19
56 111 -18
56 239 -20
57 54 2
57 152 5
57 269 -7
57 581 -14
58 561 16
58 642 9
58 815 -14
58 862 1
59 67 2
59 389 -15
59 450 -2
59 622 5
60 107 -9
60 137 -5
60 684 -16
60 914 17
61 119 18
61 481 10
61 509 1
61 800 -14
62 114 8
62 929 13
63 90 5
63 161 11
63 210 5
63 389 -5
63 867 -8
64 6 8
64 96 -4
64 204 1
64 405 11
64 824 -7
64 902 13
65 196 -8
65 506 7
65 867 -5
66 132 -18
66 177 -12
66 492 12
66 533 2
66 572 -1
66 689 10
66 696 -18
66 806 -6
66 829 -15
66 861 17
67 21 16
67 136 10
67 231 -7
67 645 3
68 110 -9
68 618 -11
68 646 8
69 595 9
69 713 3
69 851 -17
70 27 -3
70 365 -8
70 489 2
70 498 -19
71 53 -3
71 857 9
72 257 6
72 258 4
72 358 16
72 543 7
72 833 -17
72 864 7
72 990 -9
73 204 6
73 263 17
73 539 20
73 643 3
73 665 -15
73 806 7
74 287 18
74 418 19
74 636 -12
75 431 13
75 523 14
75 618 15
76 108 2
76 626 14
76 764 18
76 778 16
77 98 16
77 419 -7
77 616 5
77 744 5
77 750 9
78 994 5
79 471 -12
79 650 -11
79 733 -11
79 766 -2
79 993 -8
80 97 -7
80 207 -20
80 653 -13
81 749 13
82 483 -1
82 787 -12
83 15 6
83 120 -17
83 152 11
83 355 8
83 415 16
83 574 11
83 945 14
84 101 20
84 462 16
84 501 -17
84 532 -11
85 332 -6
85 818 -11
87 301 12
87 363 10
87 521 5
87 831 6
88 382 5
88 560 11
88 589 -20
89 47 -13
89 743 -11
89 747 -4
89 826 -15
89 978 7
90 90 13
90 398 12
90 770 -7
90 912 -18
91 97 -16
91 203 17
91 350 4
91 435 -9
91 803 10
91 863 -4
91 928 -16
93 144 -15
94 325 7
94 374 12
94 874 16
94 988 9
95 138 0
95 421 -20
95 624 -14
96 184 18
96 775 -6
96 996 20
97 337 14
97 463 -1
97 516 -14
98 66 11
98 266 -2
98 387 13
98 814 10
98 945 -17
99 118 -5
99 251 14
99 912 -17
99 987 -5
100 341 -3
100 449 -20
100 475 -3
100 600 9
100 627 17
100 782 12
101 29 -20
101 279 -13
101 347 -1
101 968 -16
101 989 3
102 316 17
102 385 11
102 977 -14
102 984 10
103 204 -2
103 486 -13
103 539 -6
104 289 -8
104 445 1
104 746 -14
104 999 -12
105 42 8
105 137 6
105 235 -4
105 445 -3
105 518 15
105 831 -16
106 17 8
106 347 10
106 404 -4
106 482 1
106 659 2
106 743 -10
106 873 7
107 302 7
107 682 20
107 930 4
108 168 -11
108 556 6
108 704 -5
109 50 -9
109 150 2
109 179 -13
109 274 9
109 535 20
109 770 -16
109 800 3
110 189 9
110 599 3
110 895 10
111 542 -7
111 908 14
111 985 -4
112 39 -1
